Nombre;Tipo;SJR;Q;H_index;Total_docs;Total_docs_3_years;Total_refs;Total_cites_3_years;Citable_docs_3_years;Cites_doc_2_years;Ref_doc;Country;Subject;Publisher;ISSN;Coverage;Scope;url;graph
Nature;journal;18.509;Q1;1391;3770;8037;74917;160102;3840;19.40;19.87;United Kingdom;Multidisciplinary;Nature Research;00280836, 14764687;1869-2023;Nature is a weekly international journal publishing the finest peer-reviewed research in all fields of science and technology on the basis of its originality, importance, interdisciplinary interest, timeliness, accessibility, elegance and surprising conclusions. Nature also provides rapid, authoritative, insightful and arresting news and interpretation of topical and coming trends affecting science, scientists and the wider public.;https://www.scimagojr.com/journalsearch.php?q=21206&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21206&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21206" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Biotechnology;journal;18.117;Q1;511;485;1066;13393;17008;461;13.24;27.61;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;10870156, 15461696;1989-2023;Nature Biotechnology is a monthly journal covering the science and business of biotechnology. It publishes new concepts in technology/methodology of relevance to the biological, biomedical, agricultural and environmental sciences as well as covers the commercial, political, ethical, legal, and societal aspects of this research. The first function is fulfilled by the peer-reviewed research section, the second by the expository efforts in the front of the journal. We provide researchers with news about business. we provide the business community with news about research developments. The core areas in which we are actively seeking research papers include: molecular engineering of nucleic acids and proteins. molecular therapy (therapeutics genes, antisense, siRNAs, aptamers, DNAzymes, ribozymes, peptides, proteins). large-scale biology (genomics, functional genomics, proteomics, structural genomics, metabolomics, etc.). computational biology (algorithms and modeling), regenerative medicine (stem cells, tissue engineering, biomaterials). imaging technology. analytical biotechnology (sensors/detectors for analytes/macromolecules), applied immunology (antibody engineering, xenotransplantation, T-cell therapies). food and agricultural biotechnology. and environmental biotechnology. A comprehensive list of areas of interest is shown below.;https://www.scimagojr.com/journalsearch.php?q=16115&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=16115&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=16115" alt="SCImago Journal &amp; Country Rank"  /></a>"
Chemical Reviews;journal;17.828;Q1;833;271;851;115878;50519;819;49.76;427.59;United States;Chemistry;American Chemical Society;00092665, 15206890;1924-2023;Chemical Reviews is one of the most highly regarded and highest-ranked journals covering the general topic of chemistry. The mission of Chemical Reviews is to provide comprehensive, authoritative, critical, and readable reviews of important recent research in organic, inorganic, physical, analytical, theoretical, and biological chemistry. In addition to the general reviews, the journal has published since 1985 periodic thematic issues focusing on a single theme or direction of emerging research.;https://www.scimagojr.com/journalsearch.php?q=23340&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=23340&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=23340" alt="SCImago Journal &amp; Country Rank"  /></a>"
Econometrica;journal;17.701;Q1;223;75;273;3371;1946;268;6.24;44.95;United Kingdom;Economics, Econometrics and Finance;Wiley-Blackwell Publishing Ltd;00129682, 14680262;1974, 1977-1984, 1990-1991, 1994-2023;Econometrica publishes original articles in all branches of economics - theoretical and empirical, abstract and applied, providing wide-ranging coverage across the subject area. It promotes studies that aim at the unification of the theoretical-quantitative and the empirical-quantitative approach to economic problems and that are penetrated by constructive and rigorous thinking. It explores a unique range of topics each year - from the frontier of theoretical developments in many new and important areas, to research on current and applied economic problems, to methodologically innovative, theoretical and applied studies in econometrics. Econometrica maintains a long tradition that submitted articles are refereed carefully and that detailed and thoughtful referee reports are provided to the author as an aid to scientific research, thus ensuring the high calibre of papers found in Econometrica. An international board of editors, together with the referees it has selected, has succeeded in substantially reducing editorial turnaround time, thereby encouraging submissions of the highest quality. We strongly encourage recent Ph. D. graduates to submit their work to Econometrica. Our policy is to take into account the fact that recent graduates are less experienced in the process of writing and submitting papers.;https://www.scimagojr.com/journalsearch.php?q=19482&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=19482&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=19482" alt="SCImago Journal &amp; Country Rank"  /></a>"
Review of Financial Studies;journal;17.654;Q1;234;108;410;6448;4495;409;8.04;59.70;United Kingdom;Business, Management and Accounting;Oxford University Press;08939454, 14657368;1996-2023;The Review of Financial Studies is a major forum for the promotion and wide dissemination of significant new research in financial economics. As reflected by its broadly based editorial board, the Review balances theoretical and empirical contributions. The primary criteria for publishing a paper are its quality and importance to the field of finance, without undue regard to its technical difficulty. Finance is interpreted broadly to include the interface between finance and economics. The Review is sponsored by The Society for Financial Studies. The editors of the Review and officers of the Society are elected for limited terms.;https://www.scimagojr.com/journalsearch.php?q=16161&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=16161&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=16161" alt="SCImago Journal &amp; Country Rank"  /></a>"
Cancer Cell;journal;17.507;Q1;398;178;590;11546;12604;360;19.83;64.87;United States;Biochemistry, Genetics and Molecular Biology;Cell Press;15356108, 18783686;2002-2023;Cancer Cell provides a high-profile forum to promote major advances in cancer research and oncology. The primary criterion for considering manuscripts is whether the studies provide major advances into answering important questions relevant to naturally occurring cancers. Cancer Cell particularly welcomes translational research. Cancer Cell is also interested in publishing clinical investigations, in particular those that lead to establishing new paradigms in the treatment, diagnosis, or prevention of cancers. those that provide important insights into cancer biology beyond what has been revealed by preclinical studies. and those that are mechanism-based proof-of-principle clinical studies.;https://www.scimagojr.com/journalsearch.php?q=29093&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=29093&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=29093" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Energy;journal;17.497;Q1;229;229;609;6629;16808;379;26.18;28.95;United States;Energy;Springer Nature;20587546;2016-2023;The provision of energy is a key issue at the heart of modern society: where do we get it from, how do we use it, and is there enough of it for what we want? Our growing thirst for energy must either be matched by supply or else adapted to meet it. Tackling these challenges is an essential part of many fields of research — both in the natural and social and behavioural sciences and economics — and is the focus of multi-billion-dollar global industries. Publishing monthly, Nature Energy is dedicated to exploring all aspects of this on-going discussion, from the generation and storage of energy, to its distribution and management, the needs and demands of the different actors, and the impacts that energy technologies and policies have on societies. We have a particular interest in studies that advance our knowledge and inform the development of next-generation technologies and solutions. Nature Energy provides a forum for all parties active at the frontiers of energy to come together and learn about the different facets of this sector. Like all Nature-branded journals, Nature Energy is characterized by a dedicated team of professional editors, a fair and rigorous peer-review process, high standards of copy-editing and production, swift publication and editorial independence. In addition to publishing original research, Nature Energy will publish Comments, Perspectives, Reviews, News & Views, Features and Correspondence from across the full range of disciplines concerned with energy. Topics covered in the journal include: Solar energy Wind energy Wave energy Geothermal energy Hydroelectricity Energy harvesting devices Nuclear power Fuel cells Hydrogen energy Transportation fuels Biofuels Batteries Supercapacitors Electrocatalysis and photocatalysis Carbon capture and storage Energy economics and finance Energy policy Energy and behaviour Energy security Energy access Energy justice Energy grids and networks Nature Energy;https://www.scimagojr.com/journalsearch.php?q=21100812579&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21100812579&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21100812579" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Genetics;journal;17.300;Q1;639;336;654;13672;13100;504;19.88;40.69;United Kingdom;Biochemistry, Genetics and Molecular Biology;Nature Publishing Group;10614036, 15461718;1992-2023;Nature Genetics publishes the very highest quality research in genetics. It encompasses genetic and functional genomic studies on human and plant traits and on other model organisms. Current emphasis is on the genetic basis for common and complex diseases and on the functional mechanism, architecture and evolution of gene networks, studied by experimental perturbation. Integrative genetic topics comprise, but are not limited to: -Genes in the pathology of human disease -Molecular analysis of simple and complex genetic traits -Cancer genetics -Agricultural genomics -Developmental genetics -Regulatory variation in gene expression -Strategies and technologies for extracting function from genomic data -Pharmacological genomics -Genome evolution -Nature Genetics;https://www.scimagojr.com/journalsearch.php?q=18990&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=18990&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=18990" alt="SCImago Journal &amp; Country Rank"  /></a>"
Reviews of Modern Physics;journal;16.061;Q1;388;36;103;14097;4303;99;42.66;391.58;United States;Physics and Astronomy;American Physical Society;00346861, 15390756;1929-2023;Reviews of Modern Physics (RMP) is the world’s premier physics review journal and the most highly cited Physical Review publication. Written by leading international researchers, RMP’s in-depth essays provide outstanding coverage of a topic and give context and background for current research trends. RMP covers the full range of applied, fundamental, and interdisciplinary physics research topics: Atomic, molecular, and optical physics, Biological physics, Chemical physics, Condensed matter physics, Soft matter physics, Plasma physics and fusion, Particle-beam physics, Nuclear physics, High-energy physics, particles and fields, Astrophysics, General physics, Mathematical physics, Applications of physics, Quantum information, Computational physics.;https://www.scimagojr.com/journalsearch.php?q=29719&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=29719&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=29719" alt="SCImago Journal &amp; Country Rank"  /></a>"
Nature Reviews Immunology;journal;16.009;Q1;467;169;540;11148;13815;304;23.17;65.96;United Kingdom;Immunology and Microbiology;Nature Publishing Group;14741733, 14741741;2001-2023;Immunology is a diverse and growing discipline that can be defined as the study of the tissues, cells and molecules involved in host defence mechanisms. Immunologists attempt to understand how the immune system develops, how the body defends itself against disease, and what happens when it all goes wrong. Nature Reviews Immunology provides in-depth coverage of all areas of immunology, from fundamental mechanisms to applied aspects. Subjects Covered: -Allergy and asthma -Autoimmunity -Antigen processing and presentation -Apoptosis and cell death -Chemokines and chemokine receptors -Cytokines and cytokine receptors -Development and function of cells of the immune system -Haematopoiesis -Infection and immunity -Immunotherapy -Innate immunity -Mucosal immunology and the microbiota -Regulation of the immune response -Signalling in the immune system -Transplantation -Tumour immunology and immunotherapy -Vaccine development;https://www.scimagojr.com/journalsearch.php?q=21318&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=21318&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=21318" alt="SCImago Journal &amp; Country Rank"  /></a>"
IEEE Communications Surveys and Tutorials;journal;15.966;Q1;264;102;252;19168;11266;244;38.64;187.92;United States;Engineering;Institute of Electrical and Electronics Engineers Inc.;1553877X;2005-2023;IEEE Communications Surveys & Tutorials is an online journal published by the IEEE Communications Society for tutorials and surveys covering all aspects of the communications field. Telecommunications technology is progressing at a rapid pace, and the IEEE Communications Society is committed to providing researchers and other professionals the information and tools to stay abreast. IEEE Communications Surveys and Tutorials focuses on integrating and adding understanding to the existing literature on communications, putting results in context. Whether searching for in-depth information about a familiar area or an introduction into a new area, IEEE Communications Surveys & Tutorials aims to be the premier source of peer-reviewed, comprehensive tutorials and surveys, and pointers to further sources. IEEE Communications Surveys & Tutorials publishes only articles exclusively written for IEEE Communications Surveys & Tutorials and go through a rigorous review process before their publication in the quarterly issues. A tutorial article in the IEEE Communications Surveys & Tutorials should be designed to help the reader to become familiar with and learn something specific about a chosen topic. In contrast, the term survey, as applied here, is defined to mean a survey of the literature. A survey article in IEEE Communications Surveys & Tutorials should provide a comprehensive review of developments in a selected area, covering its development from its inception to its current state and beyond, and illustrating its development through liberal citations from the literature. Both tutorials and surveys should be tutorial in nature and should be written in a style comprehensible to readers outside the specialty of the article.;https://www.scimagojr.com/journalsearch.php?q=17900156715&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=17900156715&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=17900156715" alt="SCImago Journal &amp; Country Rank"  /></a>"
World Psychiatry;journal;15.827;Q1;140;106;297;4359;4041;62;12.99;41.12;United States;Medicine;Wiley-Blackwell;17238617;2007-2023;World Psychiatry is the official journal of the World Psychiatric Association. It is published in three issues per year and is sent free of charge to psychiatrists whose names and addresses are provided by WPA member societies and sections. World Psychiatry aims to disseminate information on truly significant clinical, service and research developments in the mental health field using a language that can be assimilated by the vast majority of mental health professionals worldwide.;https://www.scimagojr.com/journalsearch.php?q=6200180159&tip=sid&clean=0;"<a href="https://www.scimagojr.com/journalsearch.php?q=6200180159&amp;tip=sid&amp;exact=no" title="SCImago Journal &amp; Country Rank"><img border="0" src="https://www.scimagojr.com/journal_img.php?id=6200180159" alt="SCImago Journal &amp; Country Rank"  /></a>"
